Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2018,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2019,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2020,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2021,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2022,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2023,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2024,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2000,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2001,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2002,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2003,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2004,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2005,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2006,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2007,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2008,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2009,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2010,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2011,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2012,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2013,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2014,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2015,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2016,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2017,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2018,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2019,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2020,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2021,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2022,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2023,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2024,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2000,O,0,NA,ER_RSK_LBREDS,24,PT,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2001,O,0,NA,ER_RSK_LBREDS,24,PT,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2002,O,0,NA,ER_RSK_LBREDS,24,PT,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2003,O,0,NA,ER_RSK_LBREDS,24,PT,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2000,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,1.0
2001,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,1.0
2002,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,1.0
2003,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,3.0
2004,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2005,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2006,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2007,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2008,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2009,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2010,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2011,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2012,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2013,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2014,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2015,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2016,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2017,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2018,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2019,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2020,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2021,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2022,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2023,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2024,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2000,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2001,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2002,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2003,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2004,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2005,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,1.0
2006,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2007,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2008,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2009,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2010,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2011,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2012,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2013,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2014,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2015,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2016,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2017,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2018,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2019,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2020,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2021,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2022,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2023,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
2024,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_UNK_TRBBREDN,24,NUMBER,2025-05-21T00:00:00,2024,,22.0
